,date,open,high,low,close,volume,dividends,stock_splits,ticker,capital_gains
0,2021-06-01 00:00:00-04:00,121.9219706400981,122.18515038351808,120.8107540580726,121.14216613769531,67637100,0.0,0.0,AAPL,
1,2021-06-02 00:00:00-04:00,121.14216055572481,122.07792145343016,120.9179717914318,121.9024658203125,59278900,0.0,0.0,AAPL,
2,2021-06-03 00:00:00-04:00,121.5320769508381,121.69778300232346,120.02120840977952,120.42086029052734,76229200,0.0,0.0,AAPL,
3,2021-06-04 00:00:00-04:00,120.93747667465416,122.97471215998662,120.72303005127523,122.7115249633789,75169300,0.0,0.0,AAPL,
4,2021-06-07 00:00:00-04:00,122.98444744531308,123.1306617200527,121.67828344764422,122.72126770019531,71057600,0.0,0.0,AAPL,
5,2021-06-08 00:00:00-04:00,123.40361251247118,125.21665942285128,123.02345979414304,123.54007720947266,74403800,0.0,0.0,AAPL,
6,2021-06-09 00:00:00-04:00,123.99818609803275,124.52455300706954,123.32560491924683,123.92020416259766,56877900,0.0,0.0,AAPL,
7,2021-06-10 00:00:00-04:00,123.81296936037242,124.95343460907164,122.7602430768465,122.92594909667969,71186400,0.0,0.0,AAPL,
8,2021-06-11 00:00:00-04:00,123.33536251537065,124.22239035571975,122.91621888119515,124.13465881347656,53522400,0.0,0.0,AAPL,
9,2021-06-14 00:00:00-04:00,124.59280941543645,127.24412880162201,123.86174536220003,127.1856460571289,96906500,0.0,0.0,AAPL,
10,2021-06-15 00:00:00-04:00,126.6592498003718,127.30258955054586,126.1231333418934,126.3668212890625,62746300,0.0,0.0,AAPL,
11,2021-06-16 00:00:00-04:00,127.07843745402994,127.58531275424266,125.21667208669149,126.8639907836914,91815000,0.0,0.0,AAPL,
12,2021-06-17 00:00:00-04:00,126.52282306860805,129.20339129093645,126.37660133235921,128.4625701904297,96721700,0.0,0.0,AAPL,
13,2021-06-18 00:00:00-04:00,127.40981802299594,128.1896075868194,126.95168347380675,127.16613006591797,108953300,0.0,0.0,AAPL,
14,2021-06-21 00:00:00-04:00,127.01016734634604,129.066894317528,125.94769141357571,128.9596710205078,79663300,0.0,0.0,AAPL,
15,2021-06-22 00:00:00-04:00,128.79396232556323,130.6947253937975,128.29682937988724,130.5972442626953,74783600,0.0,0.0,AAPL,
16,2021-06-23 00:00:00-04:00,130.39255006678223,130.9286665216875,129.8661757752273,130.32431030273438,60214200,0.0,0.0,AAPL,
17,2021-06-24 00:00:00-04:00,131.05542269642876,131.24062798342803,129.57379527397197,130.04168701171875,68711000,0.0,0.0,AAPL,
18,2021-06-25 00:00:00-04:00,130.0904368018557,130.50957311385895,129.45683893971847,129.749267578125,70783700,0.0,0.0,AAPL,
19,2021-06-28 00:00:00-04:00,130.04163948891443,131.83517920756188,129.9831567614525,131.37704467773438,62111300,0.0,0.0,AAPL,
20,2021-06-29 00:00:00-04:00,131.3965550234282,133.0438880631515,130.9579196567259,132.88792419433594,64556100,0.0,0.0,AAPL,
21,2021-06-30 00:00:00-04:00,132.7319822442512,133.94068011687085,132.439553660315,133.50204467773438,63261400,0.0,0.0,AAPL,
22,2021-07-01 00:00:00-04:00,133.15111722207564,133.86268195374564,132.3323143115352,133.80419921875,52485800,0.0,0.0,AAPL,
23,2021-07-02 00:00:00-04:00,134.41828334809892,136.46526832234767,134.27207651002422,136.42628479003906,78852600,0.0,0.0,AAPL,
24,2021-07-06 00:00:00-04:00,136.53348691022637,139.53570925876045,136.53348691022637,138.4342498779297,108181800,0.0,0.0,AAPL,
25,2021-07-07 00:00:00-04:00,139.91586805219615,141.231788943126,139.05809657469072,140.9198760986328,104911600,0.0,0.0,AAPL,
26,2021-07-08 00:00:00-04:00,138.00536723887996,140.42274763655988,137.11833949517367,139.6234588623047,105575500,0.0,0.0,AAPL,
27,2021-07-09 00:00:00-04:00,139.1458132863032,141.97258743167365,139.04833216120844,141.44622802734375,99890800,0.0,0.0,AAPL,
28,2021-07-12 00:00:00-04:00,142.51847096001342,142.62569425576672,140.36426288116348,140.8516387939453,76299700,0.0,0.0,AAPL,
29,2021-07-13 00:00:00-04:00,140.39347883974256,143.73688473062327,140.0035841294874,141.96282958984375,100827100,0.0,0.0,AAPL,
30,2021-07-14 00:00:00-04:00,144.3607540301203,145.79364043052715,143.95134516697595,145.3842315673828,127050800,0.0,0.0,AAPL,
31,2021-07-15 00:00:00-04:00,145.47196100861444,146.21276700697837,143.37623575739534,144.73114013671875,106820300,0.0,0.0,AAPL,
32,2021-07-16 00:00:00-04:00,144.7116829108476,145.97884856339024,142.1968210625346,142.69393920898438,93251400,0.0,0.0,AAPL,
33,2021-07-19 00:00:00-04:00,140.12058929133983,140.43251704679776,138.0931035014654,138.85340881347656,121434600,0.0,0.0,AAPL,
34,2021-07-20 00:00:00-04:00,139.83793618290784,143.38603306380864,139.35056015600642,142.4600067138672,96350000,0.0,0.0,AAPL,
35,2021-07-21 00:00:00-04:00,141.85565012536404,142.4405072449087,140.97837931958148,141.7289276123047,74993500,0.0,0.0,AAPL,
36,2021-07-22 00:00:00-04:00,142.2552645840674,144.4581980577568,142.12854210433372,143.0935516357422,77338200,0.0,0.0,AAPL,
37,2021-07-23 00:00:00-04:00,143.82463382519293,144.96509166825837,143.210535419876,144.8091278076172,71447400,0.0,0.0,AAPL,
38,2021-07-26 00:00:00-04:00,144.5264642055409,146.04707474588002,143.97084849928373,145.22828674316406,72434100,0.0,0.0,AAPL,
39,2021-07-27 00:00:00-04:00,145.35500444699645,145.4427434254304,141.87514775749966,143.06434631347656,104818600,0.0,0.0,AAPL,
40,2021-07-28 00:00:00-04:00,141.15382825419624,143.25929604709813,138.94113715127986,141.3195343017578,118931200,0.0,0.0,AAPL,
41,2021-07-29 00:00:00-04:00,141.0368184978404,142.8498571602335,140.92959522149076,141.96282958984375,56699500,0.0,0.0,AAPL,
42,2021-07-30 00:00:00-04:00,140.73467853831747,142.63544169374407,140.47149137109437,142.17730712890625,70440600,0.0,0.0,AAPL,
43,2021-08-02 00:00:00-04:00,142.6647202141764,143.23982039265098,141.58274477107045,141.84593200683594,62880000,0.0,0.0,AAPL,
44,2021-08-03 00:00:00-04:00,142.12856645538005,144.30225894055675,141.51446802349406,143.63943481445312,64786600,0.0,0.0,AAPL,
45,2021-08-04 00:00:00-04:00,143.55168904021573,144.05854922239413,142.58667948918819,143.23976135253906,56368300,0.0,0.0,AAPL,
