Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,Capital Gains
2021-06-07 04:00:00+00:00,122.98444744531308,123.1306617200527,121.67828344764422,122.72126770019533,71057600,0.0,0.0,AAPL,
2021-06-08 04:00:00+00:00,123.4035896495703,125.21663622404849,123.0234370016728,123.54005432128906,74403800,0.0,0.0,AAPL,
2021-06-09 04:00:00+00:00,123.9981937322284,124.524560673672,123.32561251203369,123.9202117919922,56877900,0.0,0.0,AAPL,
2021-06-10 04:00:00+00:00,123.81296936037242,124.95343460907164,122.7602430768465,122.92594909667967,71186400,0.0,0.0,AAPL,
2021-06-11 04:00:00+00:00,123.33536251537063,124.22239035571975,122.91621888119516,124.13465881347656,53522400,0.0,0.0,AAPL,
2021-06-14 04:00:00+00:00,124.5927795199969,127.24409827001124,123.86171564217574,127.18561553955078,96906500,0.0,0.0,AAPL,
2021-06-15 04:00:00+00:00,126.6592650944716,127.30260492232892,126.12314857125716,126.36683654785156,62746300,0.0,0.0,AAPL,
2021-06-16 04:00:00+00:00,127.07839924257492,127.58527439037437,125.2166344350542,126.86395263671876,91815000,0.0,0.0,AAPL,
2021-06-17 04:00:00+00:00,126.52280804022224,129.20337594415264,126.37658632134162,128.46255493164062,96721700,0.0,0.0,AAPL,
2021-06-18 04:00:00+00:00,127.40982566701064,128.18961527761795,126.95169109033546,127.1661376953125,108953300,0.0,0.0,AAPL,
2021-06-21 04:00:00+00:00,127.01019740258512,129.06692486047993,125.94772121838588,128.95970153808594,79663300,0.0,0.0,AAPL,
2021-06-22 04:00:00+00:00,128.79396232556323,130.6947253937975,128.29682937988724,130.5972442626953,74783600,0.0,0.0,AAPL,
2021-06-23 04:00:00+00:00,130.39255006678223,130.9286665216875,129.8661757752273,130.32431030273438,60214200,0.0,0.0,AAPL,
2021-06-24 04:00:00+00:00,131.05539194095186,131.240597184488,129.5737648661965,130.04165649414062,68711000,0.0,0.0,AAPL,
2021-06-25 04:00:00+00:00,130.09039090512184,130.5095270692511,129.45679326652197,129.7492218017578,70783700,0.0,0.0,AAPL,
2021-06-28 04:00:00+00:00,130.04163948891443,131.83517920756188,129.9831567614525,131.37704467773438,62111300,0.0,0.0,AAPL,
2021-06-29 04:00:00+00:00,131.39652484834153,133.04385750975646,130.9578895823714,132.8878936767578,64556100,0.0,0.0,AAPL,
2021-06-30 04:00:00+00:00,132.7319822442512,133.94068011687085,132.439553660315,133.50204467773438,63261400,0.0,0.0,AAPL,
2021-07-01 04:00:00+00:00,133.15111722207564,133.86268195374564,132.3323143115352,133.80419921875,52485800,0.0,0.0,AAPL,
2021-07-02 04:00:00+00:00,134.41828334809892,136.46526832234767,134.27207651002422,136.42628479003906,78852600,0.0,0.0,AAPL,
